source_name,source_link,event_id,event_date,event_time,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,photo_link,notes,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,submitted_date,created_date,last_edited_date,longitude,latitude,month,year
KitsapSun,http://www.kitsapsun.com/news/2009/nov/18/mudslide-destroys-gig-harbor-area-garage/#ixzz0XKFjIQI7,1312,2009-11-18 00:00:00,,"8500 block of 29th Street NW, Gig Harbor, Washington","A detached garage of a home in the 8500 block of 29th Street NW, along with two vehicles, was destroyed in the early morning hours of Monday, Nov. 16.  Fire crews suspect that heavy rains loosened a section of hillside above the home, creating a slide approximately 50 feet by 200 feet in size that lifted a pickup truck onto the roof of the garage. The weight of the truck and mud caused the garage roof to collapse.","8500 block of 29th Street NW, Gig Harbor, Washington",1km,mudslide,downpour,small,unknown,0.0,,,,,glc,1312.0,United States,US,Washington,6651.0,Wollochet,2.74791,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.5562,47.2846,11,2009
Oregon DOT,,8208,2015-02-06 13:18:00,,"OR 42, milepost 42.2",,"OR 42, milepost 42.2",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8208.0,United States,US,Oregon,3742.0,Lafayette,3.64565,07/01/2016 06:10:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-123.1587,45.2335,2,2015
Bonners Ferry Herald,http://www.bonnersferryherald.com/news/article_5d9176ce-9558-11e1-8002-0019bb2963f4.html,4346,2012-05-02 00:00:00,,"Myrtle Creek Rd, Bonners Ferry, ID","The Myrtle Creek Road, also known as Forest Road 633, was closed due to mudslides and flood damage.Forest Service employees working in the area west of Bonners Ferry, Idaho earlier this week discovered a significant mudslide and road washout, which has divided the road and scattered logs, boulders and mud throughout several sections of the road. An emergency road closure order has been issued for the entire length of the road.","Myrtle Creek Rd, Bonners Ferry, ID",10km,landslide,downpour,large,unknown,,,,,,glc,4346.0,United States,US,Oregon,2514.0,Myrtle Point,14.54271,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-124.01,42.9744,5,2012
Oregon DOT,,8002,2016-01-23 14:31:00,,"US 30, milepost 39",,"US 30, milepost 39",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8002.0,United States,US,Oregon,2344.0,Kalama,2.91727,06/30/2016 05:15:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.877,45.9951,1,2016
Oregon DOT,,7988,2016-02-14 07:53:00,,"OR 180, milepost 16",,"OR 180, milepost 16",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,7988.0,United States,US,Oregon,4584.0,Philomath,17.56982,06/30/2016 04:44:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-123.5552,44.624,2,2016
Oregon DOT,,8284,2014-10-25 23:32:00,,"US 20, milepost 23",,"US 20, milepost 23",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8284.0,United States,US,Oregon,3465.0,Toledo,12.85137,07/05/2016 07:02:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-123.7784,44.6394,10,2014
Oregon DOT,,8455,2013-08-25 06:08:00,,"OR 19, milepost 20.5",,"OR 19, milepost 20.5",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8455.0,United States,US,Oregon,682.0,Condon,24.68877,07/06/2016 05:44:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-120.1971,45.4563,8,2013
The Pine Tree,http://new.thepinetree.net/traffic-fire/traffic-update-rockslide-on-hwy-12/,7548,2016-03-07 00:00:00,,Hwy 12 between Toyon & Central Hill,"CHP is reporting a mud, dirt and rockslide",Hwy 12 between Toyon & Central Hill,5km,landslide,unknown,medium,above_road,0.0,0.0,,,,glc,7548.0,United States,US,California,2783.0,San Andreas,3.6331,03/10/2016 01:50:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-120.7215,38.201,3,2016
Oregon DOT,,8390,2014-02-12 14:18:00,,"OR 34, milepost 6.5",,"OR 34, milepost 6.5",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8390.0,United States,US,Oregon,2033.0,Waldport,9.41896,07/06/2016 03:23:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-123.9539,44.4065,2,2014
East County Magazine,http://www.eastcountymagazine.org/rockslides,7229,2015-07-19 00:00:00,,Highway 79 at Horizon View Dr,Highway 79 at Horizon View Drive: Rock slides blocking lanes,Highway 79 at Horizon View Dr,1km,landslide,downpour,small,above_road,0.0,0.0,,,,glc,7229.0,United States,US,California,20292.0,Ramona,4.85697,07/20/2015 03:45:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-116.9029,33.0742,7,2015
Oregon DOT,,8836,2011-01-17 09:38:00,,"OR 126, milepost 29",,"OR 126, milepost 29",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8836.0,United States,US,Oregon,1045.0,Lowell,31.32535,07/08/2016 05:49:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.5279,44.1316,1,2011
Oregon DOT,,8414,2013-12-23 12:41:00,,"OR 22, milepost 29.5",,"OR 22, milepost 29.5",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8414.0,United States,US,Oregon,1855.0,Mill City,0.94585,07/06/2016 04:04:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.4891,44.7573,12,2013
Oregon DOT,,8496,2013-01-09 16:15:00,,"OR 22, milepost 44",,"OR 22, milepost 44",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8496.0,United States,US,Oregon,1855.0,Mill City,19.97966,07/06/2016 07:28:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.2336,44.7099,1,2013
Oregon DOT,,8391,2014-02-12 08:25:00,,"US 20, milepost 20",,"US 20, milepost 20",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8391.0,United States,US,Oregon,2449.0,Siletz,10.14246,07/06/2016 03:23:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-123.8171,44.6677,2,2014
Oregon DOT,,8736,2012-01-18 12:12:00,,"OR 204, milepost 30",,"OR 204, milepost 30",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8736.0,United States,US,Oregon,1711.0,Elgin,13.75027,07/08/2016 02:29:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-118.0283,45.6611,1,2012
Oregon DOT,,8376,2014-02-15 18:21:00,,"OR 22, milepost 49.3",,"OR 22, milepost 49.3",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8376.0,United States,US,Oregon,1855.0,Mill City,25.0955,07/06/2016 03:08:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.1622,44.7362,2,2014
Oregon DOT,,8772,2011-06-28 09:26:00,,"OR 131, milepost 2.2",,"OR 131, milepost 2.2",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8772.0,United States,US,Oregon,4935.0,Tillamook,8.31703,07/08/2016 04:43:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-123.9488,45.4385,6,2011
Oregon DOT,,8697,2012-01-24 13:40:00,,"OR 36, milepost 25",,"OR 36, milepost 25",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8697.0,United States,US,Oregon,4561.0,Veneta,21.83553,07/08/2016 01:42:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-123.5777,44.1579,1,2012
Oregon DOT,,8140,2015-12-07 10:14:00,,"US 101, milepost 57",,"US 101, milepost 57",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8140.0,United States,US,Oregon,1286.0,Bay City,4.14954,07/01/2016 03:31:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-123.8923,45.5599,12,2015
Oregon DOT,,8353,2014-03-05 17:35:00,,"OR 34, milepost 29",,"OR 34, milepost 29",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8353.0,United States,US,Oregon,2033.0,Waldport,29.34179,07/06/2016 02:05:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-123.7092,44.3695,3,2014
Oregon DOT,,8371,2014-02-17 08:59:00,,"OR 38, milepost 7.5",,"OR 38, milepost 7.5",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8371.0,United States,US,Oregon,4154.0,Reedsport,10.59713,07/06/2016 03:04:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-123.9669,43.6878,2,2014
The News Tribune,http://www.thenewstribune.com/2014/03/30/3125147/landslide-skirts-dash-point-beach.html?sp=/99/296/#http://www.thenewstribune.com/2014/03/30/3125147/landslide-skirts-dash-point-beach.html?sp=/99/296/,5976,2014-03-29 18:00:00,,Whitman St NE Slide near Dash Point,"The slide near Dash Point is about 50 feet wide and 150 feet long down a steep bluff, with the houses underneath located past the end of Whitman Street Northeast.Crews arrived to the Dash Point slide about 7:20 p.m. Saturday, after reports of trees snapping and other noise in the area.  ","1401-4245 Whitman St NE Tacoma, WA 98422",1km,landslide,unknown,unknown,unknown,0.0,0.0,,,,glc,5976.0,United States,US,Washington,198397.0,Tacoma,7.2639,08/24/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.4292,47.3174,3,2014
www.krem.com,http://www.krem.com/news/local/222575651.html,5454,2013-09-05 09:00:00,,"Scotts Valley Rd, Nine Mile Falls, Wa",A small mudslide developed in Stevens County Thursday afternoon along Highway 291 and Scotts Valley Road. It was most likely cause by the heavy rain Wednesday night. The mudslide blocked a stretch of Scotts Valley Road. A state trooper said the mud slide down the hill and piled up to six inches high. People who live on Scotts Valley Road said mudslides happen every time there is heavy rain fall and the county does not do anything about it. Neighbors said the mudslide comes with the threat of car and motorcycle accidents. Stevens County said that because not many people live there they cannot afford to change the road.They said on any given day only 45 people travel down the unpaved road. The County said they do maintenance on the road so mudslides do not happen every time it rains.   A County Engineer said the road is up to code for normal storms but there is not enough money in the budget to prepare every road in the county for the worst of storms. Clean up efforts took about two hour,"Scotts Valley Rd, Nine Mile Falls, Wa",1km,mudslide,downpour,medium,unknown,0.0,,,,,glc,5454.0,United States,US,Washington,3652.0,Deer Park,17.18941,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-117.6865,47.8907,9,2013
heraldnet,http://www.heraldnet.com/article/20101213/BLOG22/101219905,2849,2010-12-13 04:00:00,,"South tip of Hat(Gedney) Island, WA","Fresh dirt and torn up plants could be seen Monday morning on the southern tip of Hat Island.  There are about 260 homes on Hat Island, a small, privately owned area west of Everett.  Nobody lives on the southern part of the island, and the landslide didn't cause any damage, said Chuck Motson, island manager.  “Three of four days after a big rain, we usually end up with landslides in residential areas,” he said. “We are ready.”","South tip of Hat(Gedney) Island, WA",1km,landslide,downpour,small,unknown,0.0,,,,,glc,2849.0,United States,US,Washington,1609.0,Tulalip Bay,3.27094,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.3101,48.0079,12,2010
kesq,http://www.kesq.com/Global/story.asp?S=12044433,1525,2010-02-25 06:45:00,,"state Route 243 south of Banning, CA","A small mud slide blocked lanes today on state Route 243 south of Banning, the California Highway Patrol reported. The slide was reported around 6:45 a.m. on the highway about one mile south of Banning, leaving lanes covered by rocks, boulders and mud, according to the CHP. Most of the debris was moved to the side of the roadway by 7 a.m., the CHP reported, and Caltrans was responding to clean up the rest of the mess.","state Route 243 south of Banning, CA",5km,complex,rain,small,unknown,0.0,,,,,glc,1525.0,United States,US,California,29603.0,Banning,2.18534,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-116.8721,33.9062,2,2010
Oregon DOT,,8808,2011-03-06 16:39:00,,"US 26, milepost 73.4",,"US 26, milepost 73.4",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8808.0,United States,US,Oregon,583776.0,Portland,2.07659,07/08/2016 05:15:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.7002,45.5154,3,2011
seattletimes.com,http://seattletimes.com/html/localnews/2018700019_apwatraintracklandslide.html,4462,2012-07-14 00:00:00,,"Colombia River Gorge, Pasco, WA",Railroad crews have reopened a section of track in the Colombia River Gorge near Pasco that was hit by a mudslide Saturday during a thunderstorm with heavy rain.,"Colombia River Gorge, Pasco, WA",25km,landslide,rain,medium,unknown,,,,,,glc,4462.0,United States,US,Oregon,7167.0,Hood River,9.34191,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-121.6406,45.7153,7,2012
Oregon DOT,,8643,2012-03-16 06:53:00,,"OR 224, milepost 46.5",,"OR 224, milepost 46.5",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8643.0,United States,US,Oregon,4864.0,Mount Hood Village,28.36315,07/07/2016 05:40:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.0692,45.108,3,2012
2.pasadenastarnews,http://www2.pasadenastarnews.com/news/ci_9358910,550,2008-05-23 00:00:00,,"Sierra Madre, CA","blocked several roads, officials encouraged residents to evacuate","Sierra Madre, CA",5km,mudslide,downpour,small,unknown,,,,,,glc,550.0,United States,US,California,10917.0,Sierra Madre,1.53004,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-118.0459,34.1742,5,2008
Oregon DOT,,8401,2014-01-01 12:33:00,,"OR 3, milepost 2",,"OR 3, milepost 2",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8401.0,United States,US,Oregon,1251.0,Asotin,43.6306,07/06/2016 03:30:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-117.262,45.976,1,2014
Fox 40,http://fox40.com/2016/03/13/mudslide-boulder-block-placerville-mans-driveway/,9414,2016-03-13 00:00:00,,Peavine Ridge Road,"Elsewhere, heavy rains have caused other mudslides to close roads including Peavine Ridge Road east of Pollock Pines",Peavine Ridge Road,5km,mudslide,downpour,small,above_road,0.0,0.0,,,,glc,9414.0,United States,US,California,6871.0,Pollock Pines,15.11697,08/05/2016 01:09:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-120.4218,38.7987,3,2016
Oregon DOT,,7992,2016-02-03 18:36:00,,"US 30, milepost 38",,"US 30, milepost 38",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,7992.0,United States,US,Oregon,2344.0,Kalama,3.56203,06/30/2016 04:50:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.8697,45.9816,2,2016
KOMO,http://www.komonews.com/news/local/5th-landslide-closes-tracks-north-of-Seattle-296508601.html?tab=video&c=y,6878,2015-03-16 14:30:00,,BNSF north of Carkeek Park,A fifth landslide that hit Monday afternoon closed the train tracks north of Seattle only hours after they’d re-opened to freight trains.,BNSF north of Carkeek Park,5km,landslide,rain,small,above_road,0.0,0.0,,,,glc,6878.0,United States,US,Washington,53007.0,Shoreline,5.91515,04/01/2015 08:58:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.376,47.7166,3,2015
USGS,http://landslides.usgs.gov/recent/archives/1997seattle.php,7828,1997-01-01 00:00:00,,Magnolia Area,,Magnolia Area,1km,debris_flow,downpour,small,unknown,0.0,0.0,,,,glc,7828.0,United States,US,Washington,608660.0,Seattle,4.9532,06/23/2016 06:11:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.3811,47.636,1,1997
East Bay Times Breaking News,http://www.eastbaytimes.com/breaking-news/ci_29064226/livermore-patterson-pass-reopens-after-mudslide-tesla-road,8897,2015-11-02 00:00:00,,"Tesla Rd, Livermore, CA","Crews worked late into the night on Monday and managed to clear one Livermore road affected by mudslides but another route remained closed Tuesday, according to an Alameda County Public Works supervisor.  Patterson Pass Road reopened to traffic, but Tesla Road was still closed as crews removed mudslide debris, said Field Maintenance Supervisor David Luera said Tuesday.  Monday's rains soaked the area and a mudslide was first reported on Patterson Pass Road about 3:25 p.m., near Cross Road, according to the California Highway Patrol.  Tesla Road was later closed because of several mudslides and traffic was detoured back to Interstate 580, Luera said.","Tesla Rd, Livermore, CA",1km,landslide,unknown,medium,above_road,0.0,0.0,,,,glc,8897.0,United States,US,California,80968.0,Livermore,0.06198,07/11/2016 06:50:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-121.7675,37.6815,11,2015
